BODY_STYLE,ENGINE_LOCATION,ENGINE_SIZE,ENGINE_TYPE,FUEL_TYPE,ID,MAKE,NUM_OF_DOORS
sedan,front,98,dohc,gas,2824,toyota,two
hatchback,front,98,dohc,gas,2825,toyota,two
hardtop,front,146,ohc,gas,2826,toyota,two
hardtop,front,146,ohc,gas,2827,toyota,two
hatchback,front,146,ohc,gas,2828,toyota,two
hardtop,front,146,ohc,gas,2829,toyota,two
hatchback,front,146,ohc,gas,2830,toyota,two
convertible,front,146,ohc,gas,2831,toyota,two
sedan,front,122,ohc,gas,2832,toyota,four
sedan,front,110,ohc,diesel,2833,toyota,four
hatchback,front,122,ohc,gas,2834,toyota,four
sedan,front,122,ohc,gas,2835,toyota,four
hatchback,front,122,ohc,gas,2836,toyota,four
hatchback,front,171,dohc,gas,2837,toyota,two
hatchback,front,171,dohc,gas,2838,toyota,two
sedan,front,171,dohc,gas,2839,toyota,four
wagon,front,161,dohc,gas,2840,toyota,four
sedan,front,97,ohc,diesel,2841,volkswagen,two
sedan,front,109,ohc,gas,2842,volkswagen,two
sedan,front,97,ohc,diesel,2843,volkswagen,four
sedan,front,109,ohc,gas,2844,volkswagen,four
sedan,front,109,ohc,gas,2845,volkswagen,four
sedan,front,97,ohc,diesel,2846,volkswagen,four
sedan,front,109,ohc,gas,2642,volkswagen,four
convertible,front,109,ohc,gas,2643,volkswagen,two
hatchback,front,109,ohc,gas,2644,volkswagen,two
sedan,front,136,ohc,gas,2645,volkswagen,four
sedan,front,97,ohc,diesel,2646,volkswagen,four
wagon,front,109,ohc,gas,2647,volkswagen,four
sedan,front,141,ohc,gas,2648,volvo,four
wagon,front,141,ohc,gas,2649,volvo,four
sedan,front,141,ohc,gas,2650,volvo,four
wagon,front,141,ohc,gas,2651,volvo,four
sedan,front,130,ohc,gas,2652,volvo,four
wagon,front,130,ohc,gas,2653,volvo,four
sedan,front,141,ohc,gas,2654,volvo,four
sedan,front,141,ohc,gas,2655,volvo,four
sedan,front,173,ohcv,gas,2656,volvo,four
